epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,27155.7,1.01192,0.80679,1.51216,0.98399,0.99691,0.9944,0.78796,0.76543,0.47277,1.35803,0.000375041,0.000375041,0.000375041
151,27294.9,1.00181,0.82706,1.50643,0.98977,0.99583,0.99402,0.77942,0.76542,0.46868,1.37383,0.000367967,0.000367967,0.000367967
152,27434.2,0.9449,0.81616,1.46101,0.98994,0.99946,0.99497,0.78991,0.74182,0.44332,1.34787,0.000360894,0.000360894,0.000360894
153,27575,0.94967,0.794,1.47011,0.9877,0.96833,0.9949,0.78606,0.79167,0.48647,1.38128,0.00035382,0.00035382,0.00035382
154,27713.7,0.95027,0.79226,1.45458,0.98646,0.9951,0.995,0.80194,0.74685,0.44556,1.341,0.000346747,0.000346747,0.000346747
155,27855.7,0.97031,0.80118,1.4861,0.98124,0.99541,0.994,0.79155,0.77505,0.46417,1.35847,0.000339673,0.000339673,0.000339673
156,27995.7,0.9521,0.78999,1.47759,0.99655,0.99563,0.99493,0.80175,0.72047,0.43552,1.33692,0.0003326,0.0003326,0.0003326
157,28135.7,0.98899,0.84131,1.51368,0.99334,0.98153,0.9949,0.80902,0.71771,0.44279,1.32165,0.000325526,0.000325526,0.000325526
158,28277,0.96973,0.8004,1.47136,0.99351,0.99605,0.99239,0.80628,0.69933,0.43375,1.31458,0.000318453,0.000318453,0.000318453
159,28416.4,0.967,0.8095,1.46919,0.98791,0.98115,0.99213,0.802,0.73139,0.46218,1.34088,0.000311379,0.000311379,0.000311379
160,28553.9,0.97337,0.82843,1.49876,0.99637,0.99081,0.995,0.80476,0.72932,0.44954,1.33418,0.000304306,0.000304306,0.000304306
161,28693.7,0.92719,0.77222,1.44508,0.99494,0.99734,0.99497,0.795,0.74157,0.44904,1.34093,0.000297232,0.000297232,0.000297232
162,28833.2,0.95875,0.79593,1.4705,0.99271,0.9837,0.99456,0.79372,0.72572,0.44869,1.34373,0.000290158,0.000290158,0.000290158
163,28973.3,0.95589,0.78312,1.4517,0.99007,0.99289,0.99471,0.81256,0.70312,0.43338,1.30111,0.000283085,0.000283085,0.000283085
164,29111,0.94871,0.77411,1.45895,0.98574,0.9862,0.99456,0.80136,0.71466,0.4505,1.31206,0.000276011,0.000276011,0.000276011
165,29250.1,0.92876,0.76179,1.46269,0.97962,0.99334,0.99405,0.79021,0.7627,0.45556,1.35886,0.000268938,0.000268938,0.000268938
166,29389.9,0.96189,0.78128,1.47615,0.99517,0.99277,0.99491,0.81787,0.68107,0.41836,1.29988,0.000261864,0.000261864,0.000261864
167,29528.6,0.89323,0.73037,1.41608,0.99218,0.9902,0.99421,0.82014,0.68044,0.42181,1.3002,0.000254791,0.000254791,0.000254791
168,29667.5,0.92865,0.75322,1.44873,0.99408,0.9997,0.995,0.82182,0.67081,0.41593,1.29215,0.000247717,0.000247717,0.000247717
169,29806.5,0.90868,0.7537,1.4425,0.99457,0.99709,0.99477,0.81394,0.71275,0.42536,1.29594,0.000240644,0.000240644,0.000240644
170,29946.6,0.92792,0.74954,1.43256,0.99365,0.99719,0.99386,0.80804,0.70403,0.43043,1.31253,0.00023357,0.00023357,0.00023357
171,30084.7,0.90639,0.7546,1.4325,0.99071,1,0.995,0.81151,0.67777,0.41538,1.28834,0.000226497,0.000226497,0.000226497
172,30224.2,0.94693,0.76141,1.4851,0.99831,1,0.995,0.82025,0.6902,0.41613,1.28086,0.000219423,0.000219423,0.000219423
173,30364.1,0.92933,0.78685,1.4498,0.99712,0.99948,0.995,0.81598,0.6749,0.40731,1.29771,0.000212349,0.000212349,0.000212349
174,30502.5,0.90552,0.75955,1.43417,0.99149,0.98489,0.99348,0.81701,0.68372,0.42023,1.28663,0.000205276,0.000205276,0.000205276
175,30641.1,0.93394,0.76066,1.4326,0.99555,0.99642,0.99497,0.80558,0.72359,0.42073,1.31462,0.000198202,0.000198202,0.000198202
176,30778.4,0.93115,0.73271,1.44329,0.99835,0.99819,0.995,0.81221,0.70747,0.42203,1.29619,0.000191129,0.000191129,0.000191129
177,30917.7,0.93005,0.76337,1.44629,0.99724,0.99865,0.995,0.82455,0.66254,0.40357,1.27393,0.000184055,0.000184055,0.000184055
178,31057.5,0.92578,0.74379,1.45431,0.99912,0.99948,0.995,0.82532,0.66461,0.40298,1.277,0.000176982,0.000176982,0.000176982
179,31198.9,0.8906,0.69469,1.41002,0.99813,0.99954,0.995,0.83531,0.65715,0.40226,1.25512,0.000169908,0.000169908,0.000169908
180,31338.2,0.88273,0.70854,1.40989,0.99705,0.9995,0.995,0.82619,0.65294,0.40251,1.26729,0.000162835,0.000162835,0.000162835
181,31478.8,0.90381,0.7125,1.41523,0.99851,0.99899,0.995,0.83004,0.64843,0.3974,1.2652,0.000155761,0.000155761,0.000155761
